Id	Num T ^ 4	Prod Budget	Actual	Predicted	Old Error	BB Adjusted	New Error					
68	2.8474E+13	"$25,000,000"	"$13,243,069"	"$8,681,221"	"$4,561,848"	"$8,681,221"	"$4,561,848"					
69	256	$0	"$4,321"	$0	"$4,321"	$0	"$4,321"					
70	1.60641E+13	"$8,600,000"	"$5,856,872"	"$4,263,119"	"$1,593,753"	"$4,263,119"	"$1,593,753"					
71	256	$0	"$53,267"	$0	"$53,267"	$0	"$53,267"					
72	104976	$0	"$144,070"	$0	"$144,070"	$0	"$144,070"					
73	1	$0	"$2,848"	$0	"$2,848"	$0	"$2,848"					
74	2401	"$20,000,000"	"$389,351"	"$2,305,687"	"$1,916,336"	"$2,305,687"	"$1,916,336"					
75	16	$0	"$1,924"	$0	"$1,924"	$0	"$1,924"					
76	1.02647E+14	"$35,000,000"	"$11,382,472"	"$24,940,435"	"$13,557,963"	"$24,940,435"	"$13,557,963"					
77	256	"$1,500,000"	"$59,459"	"$172,926"	"$113,467"	"$172,926"	"$113,467"					
78	1	$0	"$15,995"	$0	"$15,995"	$0	"$15,995"					
79	8.67637E+13	$0	"$14,312,850"	"$17,670,620"	"$3,357,770"	"$17,670,620"	"$3,357,770"					
80	1	$0	"$16,694"	$0	"$16,694"	$0	"$16,694"					
81	1	$0	"$29,525"	$0	"$29,525"	$0	"$29,525"					
82	1.20181E+14	"$51,000,000"	"$15,820,864"	"$30,356,061"	"$14,535,197"	"$21,249,243"	"$5,428,379"					
83	4.4572E+12	"$70,000,000"	"$3,201,420"	"$8,977,674"	"$5,776,254"	"$6,284,372"	"$3,082,952"					
84	2.21538E+14	"$150,000,000"	"$72,896,986"	"$62,411,971"	"$10,485,015"	"$43,688,380"	"$29,208,606"					
85	16	$0	"$20,351"	$0	"$20,351"	$0	"$20,351"					
86	4879681	$0	"$37,437"	$1	"$37,436"	$1	"$37,436"					
87	625	"$5,500,000"	"$65,365"	"$634,064"	"$568,699"	"$634,064"	"$568,699"					
88	1296	$0	"$25,900"	$0	"$25,900"	$0	"$25,900"					
89	1	$0	"$14,489"	$0	"$14,489"	$0	"$14,489"					
90	4.99889E+13	"$25,000,000"	"$16,647,604"	"$13,063,028"	"$3,584,576"	"$13,063,028"	"$3,584,576"					
91	4.0713E+13	$0	"$13,122,865"	"$8,291,766"	"$4,831,099"	"$8,291,766"	"$4,831,099"					
92	1.03294E+14	"$15,000,000"	"$10,208,431"	"$22,766,416"	"$12,557,985"	"$22,766,416"	"$12,557,985"					
93	100000000	"$16,500,000"	"$972,066"	"$1,902,212"	"$930,146"	"$1,902,212"	"$930,146"					
94	1.06971E+14	"$75,000,000"	"$23,450,212"	"$30,432,341"	"$6,982,129"	"$21,302,639"	"$2,147,573"					
95	2.3806E+14	"$150,000,000"	"$38,021,044"	"$65,776,777"	"$27,755,733"	"$46,043,744"	"$8,022,700"					
96	1	$0	"$8,252"	$0	"$8,252"	$0	"$8,252"					
97	7.71814E+13	$0	"$7,031,228"	"$15,719,056"	"$8,687,828"	"$15,719,056"	"$8,687,828"					
98	723394816	"$2,800,000"	"$302,908"	"$322,943"	"$20,035"	"$322,943"	"$20,035"					
99	194481	$0	"$120,544"	$0	"$120,544"	$0	"$120,544"					
100	16	$0	"$73,837"	$0	"$73,837"	$0	"$73,837"					
101	1	$0	"$8,036"	$0	"$8,036"	$0	"$8,036"					
102	16	$0	"$9,098"	$0	"$9,098"	$0	"$9,098"					
103	26873856	$0	"$38,500"	$5	"$38,495"	$5	"$38,495"					
104	8503056	$0	"$81,569"	$2	"$81,567"	$2	"$81,567"					
105	741200625	"$3,300,000"	"$1,328,448"	"$380,589"	"$947,859"	"$380,589"	"$947,859"					
106	1.14899E+14	"$35,000,000"	"$19,656,429"	"$27,435,626"	"$7,779,197"	"$27,435,626"	"$7,779,197"					
107	1	$0	"$4,360"	$0	"$4,360"	$0	"$4,360"					
108	9.88316E+13	"$150,000,000"	"$27,515,871"	"$37,421,063"	"$9,905,192"	"$26,194,744"	"$1,321,127"					
109	1	$0	"$9,490"	$0	"$9,490"	$0	"$9,490"					
110	1.01491E+14	"$80,000,000"	"$20,131,130"	"$29,892,788"	"$9,761,658"	"$20,924,952"	"$793,822"					
111	1	$0	"$1,200"	$0	"$1,200"	$0	"$1,200"					
112	1	$0	"$6,374"	$0	"$6,374"	$0	"$6,374"					
113	6561	$0	"$12,281"	$0	"$12,281"	$0	"$12,281"					
114	1.13085E+14	"$40,000,000"	"$27,736,056"	"$27,642,589"	"$93,467"	"$27,642,589"	"$93,467"					
115	1	$0	$466	$0	$466	$0	$466					
116	1	$0	"$2,784"	$0	"$2,784"	$0	"$2,784"					
117	6561	"$22,000,000"	"$137,034"	"$2,536,255"	"$2,399,221"	"$2,536,255"	"$2,399,221"					
118	2.45528E+13	"$60,000,000"	"$10,005,895"	"$11,917,570"	"$1,911,675"	"$8,342,299"	"$1,663,596"					
119	256	$0	"$16,102"	$0	"$16,102"	$0	"$16,102"					
120	2.45707E+12	"$15,000,000"	"$4,143,199"	"$2,229,681"	"$1,913,518"	"$2,229,681"	"$1,913,518"					
121	1.29286E+14	"$61,000,000"	"$33,014,202"	"$33,363,137"	"$348,935"	"$23,354,196"	"$9,660,006"					
122	1	$0	"$9,004"	$0	"$9,004"	$0	"$9,004"					
123	2.0736E+12	$0	"$2,074,300"	"$422,317"	"$1,651,983"	"$422,317"	"$1,651,983"					
124	1	$0	"$2,201"	$0	"$2,201"	$0	"$2,201"					
125	1.33086E+13	"$100,000,000"	"$8,648,324"	"$14,238,919"	"$5,590,595"	"$9,967,243"	"$1,318,919"					
126	9.41337E+11	"$25,000,000"	"$1,550,000"	"$3,073,824"	"$1,523,824"	"$3,073,824"	"$1,523,824"					
127	1	$0	"$2,390"	$0	"$2,390"	$0	"$2,390"					
128	16	$0	"$69,039"	$0	"$69,039"	$0	"$69,039"					
129	16	$0	"$7,551"	$0	"$7,551"	$0	"$7,551"					
130	8.67637E+13	"$20,000,000"	"$19,020,655"	"$19,976,307"	"$955,652"	"$19,976,307"	"$955,652"					
131	2.15626E+14	$0	"$44,783,772"	"$43,915,282"	"$868,490"	"$43,915,282"	"$868,490"					
132	4.90797E+11	"$18,000,000"	"$26,455,463"	"$2,175,075"	"$24,280,388"	"$2,175,075"	"$24,280,388"					
133	1	$0	"$9,995"	$0	"$9,995"	$0	"$9,995"					
134	1.79442E+14	"$130,000,000"	"$69,283,690"	"$51,532,808"	"$17,750,882"	"$36,072,966"	"$33,210,724"					
135	10000	"$2,900,000"	"$156,760"	"$334,325"	"$177,565"	"$334,325"	"$177,565"					
136	2401	$0	"$20,856"	$0	"$20,856"	$0	"$20,856"					
137	1	$0	"$5,919"	$0	"$5,919"	$0	"$5,919"					
138	1	$0	"$12,800"	$0	"$12,800"	$0	"$12,800"					
139	5.1851E+12	$0	"$4,208,455"	"$1,056,016"	"$3,152,439"	"$1,056,016"	"$3,152,439"					
140	5.76085E+13	$0	"$13,471,488"	"$11,732,757"	"$1,738,731"	"$11,732,757"	"$1,738,731"					
141	4.91563E+12	$0	"$10,504,990"	"$1,001,135"	"$9,503,855"	"$1,001,135"	"$9,503,855"					
142	81	$0	"$43,424"	$0	"$43,424"	$0	"$43,424"					
143	16	$0	"$21,160"	$0	"$21,160"	$0	"$21,160"					
144	8.88287E+13	"$52,000,000"	"$39,172,785"	"$24,085,977"	"$15,086,808"	"$16,860,184"	"$22,312,601"					
145	16	"$450,000"	"$83,574"	"$51,878"	"$31,696"	"$51,878"	"$31,696"					
146	1048576	"$7,000,000"	"$385,848"	"$806,991"	"$421,143"	"$806,991"	"$421,143"					
147	1	$0	"$9,046"	$0	"$9,046"	$0	"$9,046"					
148	130321	$0	"$49,313"	$0	"$49,313"	$0	"$49,313"					
149	1296	"$24,000,000"	"$21,281"	"$2,766,824"	"$2,745,543"	"$2,766,824"	"$2,745,543"					
150	9.70879E+13	"$25,000,000"	"$22,564,612"	"$22,655,398"	"$90,786"	"$22,655,398"	"$90,786"					
151	625	"$13,900,000"	"$547,425"	"$1,602,452"	"$1,055,027"	"$1,602,452"	"$1,055,027"					
152	49787136	$0	"$133,784"	$10	"$133,774"	$10	"$133,774"					
153	2401	$0	"$55,198"	$0	"$55,198"	$0	"$55,198"					
154	531441	$0	"$780,408"	$0	"$780,408"	$0	"$780,408"					
155	1	$0	"$4,956"	$0	"$4,956"	$0	"$4,956"					
156	1	$0	"$5,120"	$0	"$5,120"	$0	"$5,120"					
157	16	$0	"$8,161"	$0	"$8,161"	$0	"$8,161"					
158	9.08127E+13	"$80,000,000"	"$15,092,079"	"$27,717,995"	"$12,625,916"	"$19,402,597"	"$4,310,518"					
159	1	$0	"$5,203"	$0	"$5,203"	$0	"$5,203"					
160	2.401E+11	"$10,000,000"	"$508,601"	"$1,201,743"	"$693,142"	"$1,201,743"	"$693,142"					
161	10000	$0	"$38,882"	$0	"$38,882"	$0	"$38,882"					
162	1048576	"$1,600,000"	"$70,664"	"$184,455"	"$113,791"	"$184,455"	"$113,791"					
163	65536	$0	"$631,725"	$0	"$631,725"	$0	"$631,725"					
164	7.61165E+12	"$4,000,000"	"$3,245,556"	"$2,011,353"	"$1,234,203"	"$2,011,353"	"$1,234,203"					
165	625	"$8,000,000"	"$57,010"	"$922,275"	"$865,265"	"$922,275"	"$865,265"					
166	1	$0	"$2,623"	$0	"$2,623"	$0	"$2,623"					
167	1	$0	"$3,429"	$0	"$3,429"	$0	"$3,429"					
168	625	$0	"$12,598"	$0	"$12,598"	$0	"$12,598"					
169	1	$0	"$3,646"	$0	"$3,646"	$0	"$3,646"					
170	16	$0	"$13,100"	$0	"$13,100"	$0	"$13,100"					
171	16	$0	"$7,624"	$0	"$7,624"	$0	"$7,624"					
172	20736	"$7,000,000"	"$324,857"	"$806,990"	"$482,133"	"$806,990"	"$482,133"					
173	1.26725E+12	$0	"$1,429,100"	"$258,092"	"$1,171,008"	"$258,092"	"$1,171,008"					
174	2.52182E+14	"$70,000,000"	"$60,119,509"	"$59,430,135"	"$689,374"	"$41,601,094"	"$18,518,415"					
175	1874161	$0	"$119,276"	$0	"$119,276"	$0	"$119,276"					
176	1.3906E+14	"$102,000,000"	"$40,833,156"	"$40,080,409"	"$752,747"	"$28,056,286"	"$12,776,870"					
177	2.90919E+12	"$14,000,000"	"$2,026,997"	"$2,206,478"	"$179,481"	"$2,206,478"	"$179,481"					
178	6.92155E+12	$0	"$7,658,898"	"$1,409,669"	"$6,249,229"	"$1,409,669"	"$6,249,229"					
179	1	$0	"$5,229"	$0	"$5,229"	$0	"$5,229"					
180	2.32134E+13	"$30,000,000"	"$6,147,294"	"$8,186,250"	"$2,038,956"	"$8,186,250"	"$2,038,956"					
181	16	"$7,000"	"$12,726"	$807	"$11,919"	$807	"$11,919"					
182	625	$0	"$31,985"	$0	"$31,985"	$0	"$31,985"					
183	1	$0	"$31,702"	$0	"$31,702"	$0	"$31,702"					
184	1	$0	"$2,690"	$0	"$2,690"	$0	"$2,690"					
185	2.02007E+14	"$150,000,000"	"$56,178,450"	"$58,434,050"	"$2,255,600"	"$40,903,835"	"$15,274,615"					
186	4.39652E+13	"$75,000,000"	"$9,656,250"	"$17,600,438"	"$7,944,188"	"$12,320,307"	"$2,664,057"					
187	1.61706E+14	"$82,500,000"	"$11,457,353"	"$42,444,543"	"$30,987,190"	"$29,711,180"	"$18,253,827"					
188	1.01619E+14	"$60,000,000"	"$14,591,141"	"$27,613,163"	"$13,022,022"	"$19,329,214"	"$4,738,073"					
189	1.78268E+14	"$60,000,000"	"$40,049,778"	"$43,223,849"	"$3,174,071"	"$30,256,694"	"$9,793,084"					
190	65536	"$76,000,000"	"$1,082,804"	"$8,761,609"	"$7,678,805"	"$6,133,126"	"$5,050,322"					
191	390625	$0	"$54,920"	$0	"$54,920"	$0	"$54,920"					
192	1	$0	"$1,307"	$0	"$1,307"	$0	"$1,307"					
193	256	$0	"$12,814"	$0	"$12,814"	$0	"$12,814"					
194	614656	"$6,800,000"	"$28,548"	"$783,934"	"$755,386"	"$783,934"	"$755,386"					
195	6.25261E+13	"$88,000,000"	"$18,320,205"	"$22,879,317"	"$4,559,112"	"$16,015,522"	"$2,304,683"					
196	2.13675E+13	"$5,000,000"	"$10,061,132"	"$4,928,207"	"$5,132,925"	"$4,928,207"	"$5,132,925"					
197	1.97543E+14	"$82,500,000"	"$40,011,365"	"$49,743,310"	"$9,731,945"	"$34,820,317"	"$5,191,048"					
198	1	$0	"$9,665"	$0	"$9,665"	$0	"$9,665"					
199	16	$0	"$5,630"	$0	"$5,630"	$0	"$5,630"					
200	4.05842E+13	"$45,000,000"	"$24,182,960"	"$13,453,332"	"$10,729,628"	"$13,453,332"	"$10,729,628"					
201	1	$0	"$1,021"	$0	"$1,021"	$0	"$1,021"					
202	1	$0	"$7,402"	$0	"$7,402"	$0	"$7,402"					
203	20736	$0	"$36,295"	$0	"$36,295"	$0	"$36,295"					
204	9.08236E+12	"$20,000,000"	"$4,244,142"	"$4,155,435"	"$88,707"	"$4,155,435"	"$88,707"					
205	130321	$0	"$37,201"	$0	"$37,201"	$0	"$37,201"					
206	707281	$0	"$25,868"	$0	"$25,868"	$0	"$25,868"					
207	1	$0	"$10,061"	$0	"$10,061"	$0	"$10,061"					
208	234256	"$6,000,000"	"$50,160"	"$691,706"	"$641,546"	"$691,706"	"$641,546"					
209	2.8474E+13	$0	"$3,807,595"	"$5,799,113"	"$1,991,518"	"$5,799,113"	"$1,991,518"					
210	20736	$0	"$20,560"	$0	"$20,560"	$0	"$20,560"					
211	1	$0	"$3,238"	$0	"$3,238"	$0	"$3,238"					
212	1	$0	"$3,243"	$0	"$3,243"	$0	"$3,243"					
213	3.28231E+12	"$25,500,000"	"$10,395,799"	"$3,608,239"	"$6,787,560"	"$3,608,239"	"$6,787,560"					
214	8.16499E+13	"$75,000,000"	"$29,769,098"	"$25,275,456"	"$4,493,642"	"$17,692,819"	"$12,076,279"					
215	3208542736	$0	"$215,801"	$653	"$215,148"	$653	"$215,148"					
216	1	"$6,400,000"	"$35,856"	"$737,820"	"$701,964"	"$737,820"	"$701,964"					
217	16777216	$0	"$150,355"	$3	"$150,352"	$3	"$150,352"					
218	28561	$0	"$66,157"	$0	"$66,157"	$0	"$66,157"					
219	456976	"$11,000,000"	"$70,460"	"$1,268,128"	"$1,197,668"	"$1,268,128"	"$1,197,668"					
220	14641	$0	"$33,521"	$0	"$33,521"	$0	"$33,521"					
221	5.16639E+13	"$20,000,000"	"$8,852,458"	"$12,827,750"	"$3,975,292"	"$12,827,750"	"$3,975,292"					
222	16	$0	"$4,438"	$0	"$4,438"	$0	"$4,438"					
223	4.00085E+13	"$12,000,000"	"$10,457,367"	"$9,531,686"	"$925,681"	"$9,531,686"	"$925,681"					
224	1.20721E+13	"$6,500,000"	"$9,107,071"	"$3,208,001"	"$5,899,070"	"$3,208,001"	"$5,899,070"					
225	6561	$0	"$43,263"	$0	"$43,263"	$0	"$43,263"					
226	1	$0	"$9,161"	$0	"$9,161"	$0	"$9,161"					
227	1.09522E+12	"$5,600,000"	"$3,767,567"	"$868,649"	"$2,898,918"	"$868,649"	"$2,898,918"					
228	16	$0	"$5,706"	$0	"$5,706"	$0	"$5,706"					
229	1	$0	"$3,609"	$0	"$3,609"	$0	"$3,609"					
230	4.33537E+13	"$50,000,000"	"$14,703,405"	"$14,593,801"	"$109,604"	"$14,593,801"	"$109,604"					
231	6.19058E+13	"$35,000,000"	"$9,633,085"	"$16,642,920"	"$7,009,835"	"$16,642,920"	"$7,009,835"					
232	1	$0	"$1,982"	$0	"$1,982"	$0	"$1,982"					
233	2.95743E+13	"$76,000,000"	"$4,887,285"	"$14,784,817"	"$9,897,532"	"$10,349,372"	"$5,462,087"					
234	1.98588E+13	$0	"$16,904,003"	"$4,044,516"	"$12,859,487"	"$4,044,516"	"$12,859,487"					
235	16	$0	"$7,363"	$0	"$7,363"	$0	"$7,363"					
236	28561	$0	"$7,758"	$0	"$7,758"	$0	"$7,758"					
237	1.36179E+13	$0	"$11,809,445"	"$2,773,468"	"$9,035,977"	"$2,773,468"	"$9,035,977"					
238	16	$0	"$16,412"	$0	"$16,412"	$0	"$16,412"					
239	81	$0	"$23,217"	$0	"$23,217"	$0	"$23,217"					
240	16	$0	"$134,938"	$0	"$134,938"	$0	"$134,938"					
241	4.98386E+13	"$60,000,000"	"$9,939,251"	"$17,067,383"	"$7,128,132"	"$11,947,168"	"$2,007,917"					
242	1	$0	"$6,321"	$0	"$6,321"	$0	"$6,321"					
243	1	$0	"$11,456"	$0	"$11,456"	$0	"$11,456"					
244	7.03387E+13	"$20,000,000"	"$19,076,261"	"$16,631,124"	"$2,445,137"	"$16,631,124"	"$2,445,137"					
245	2.0736E+12	"$3,000,000"	"$6,214,723"	"$768,170"	"$5,446,553"	"$768,170"	"$5,446,553"					
246	1.94609E+14	"$125,000,000"	"$77,073,388"	"$54,045,288"	"$23,028,100"	"$37,831,702"	"$39,241,686"					
247	104976	"$18,900,000"	"$101,288"	"$2,178,874"	"$2,077,586"	"$2,178,874"	"$2,077,586"					
248	625	$0	"$46,730"	$0	"$46,730"	$0	"$46,730"					
249	16	$0	"$17,311"	$0	"$17,311"	$0	"$17,311"					
250	1	$0	"$1,825"	$0	"$1,825"	$0	"$1,825"					
251	1.06147E+13	$0	"$7,842,725"	"$2,161,835"	"$5,680,890"	"$2,161,835"	"$5,680,890"					
252	625	$0	"$37,542"	$0	"$37,542"	$0	"$37,542"					
253	2401	"$8,000,000"	"$8,222"	"$922,275"	"$914,053"	"$922,275"	"$914,053"					
254	4569760000	"$20,000,000"	"$1,282,973"	"$2,306,617"	"$1,023,644"	"$2,306,617"	"$1,023,644"					
255	65536	$0	"$28,107"	$0	"$28,107"	$0	"$28,107"					
256	418161601	$0	"$281,778"	$85	"$281,693"	$85	"$281,693"					
257	1	$0	"$7,380"	$0	"$7,380"	$0	"$7,380"					
258	1.10203E+13	$0	"$4,231,321"	"$2,244,436"	"$1,986,885"	"$2,244,436"	"$1,986,885"					
259	4100625	"$3,500,000"	"$56,488"	"$403,496"	"$347,008"	"$403,496"	"$347,008"					
260	256	$0	"$15,810"	$0	"$15,810"	$0	"$15,810"					
261	16	$0	"$8,373"	$0	"$8,373"	$0	"$8,373"					
262	3418801	$0	"$700,213"	$1	"$700,212"	$1	"$700,212"					
263	16	$0	"$22,632"	$0	"$22,632"	$0	"$22,632"					
264	9.33091E+13	"$80,000,000"	"$28,649,398"	"$28,226,426"	"$422,972"	"$19,758,498"	"$8,890,900"					
265	625	$0	"$23,388"	$0	"$23,388"	$0	"$23,388"					
266	256	$0	"$15,656"	$0	"$15,656"	$0	"$15,656"					
267	8.28517E+13	"$90,000,000"	"$26,887,467"	"$27,249,468"	"$362,001"	"$19,074,627"	"$7,812,840"					
268	3.562E+13	"$22,000,000"	"$12,211,986"	"$9,790,756"	"$2,421,230"	"$9,790,756"	"$2,421,230"					
269	16	$0	"$8,411"	$0	"$8,411"	$0	"$8,411"					
270	1.92635E+13	"$7,000,000"	"$8,911,330"	"$4,730,275"	"$4,181,055"	"$4,730,275"	"$4,181,055"					
271	9.56118E+13	"$22,000,000"	"$9,626,287"	"$22,008,911"	"$12,382,624"	"$22,008,911"	"$12,382,624"					
272	625	$0	"$23,192"	$0	"$23,192"	$0	"$23,192"					
273	16	$0	"$4,393"	$0	"$4,393"	$0	"$4,393"					
274	9.52987E+12	"$7,000,000"	"$7,067,335"	"$2,747,879"	"$4,319,456"	"$2,747,879"	"$4,319,456"					
275	6.56977E+13	"$35,000,000"	"$27,537,244"	"$17,415,180"	"$10,122,064"	"$17,415,180"	"$10,122,064"					
276	4.83687E+12	"$5,500,000"	"$21,905,089"	"$1,619,159"	"$20,285,930"	"$1,619,159"	"$20,285,930"					
277	83521	$0	"$32,867"	$0	"$32,867"	$0	"$32,867"					
278	16777216	$0	"$78,464"	$3	"$78,461"	$3	"$78,461"					
279	16	$0	"$15,841"	$0	"$15,841"	$0	"$15,841"					
280	3748096	$0	"$23,281"	$1	"$23,280"	$1	"$23,280"					
281	1500625	$0	"$95,521"	$0	"$95,521"	$0	"$95,521"					
282	16	$0	"$1,629"	$0	"$1,629"	$0	"$1,629"					
283	519885601	"$15,000,000"	"$411,544"	"$1,729,371"	"$1,317,827"	"$1,729,371"	"$1,317,827"					
284	7.31987E+13	"$20,000,000"	"$22,224,982"	"$17,213,610"	"$5,011,372"	"$17,213,610"	"$5,011,372"					
285	81	"$14,000,000"	"$75,721"	"$1,613,981"	"$1,538,260"	"$1,613,981"	"$1,538,260"					
286	256	$0	"$50,103"	$0	"$50,103"	$0	"$50,103"					
287	65037750625	"$30,000,000"	"$260,713"	"$3,471,776"	"$3,211,063"	"$3,471,776"	"$3,211,063"					
288	16	$0	"$2,968"	$0	"$2,968"	$0	"$2,968"					
289	146410000	$0	"$138,311"	$30	"$138,281"	$30	"$138,281"					
290	2.44207E+13	"$50,000,000"	"$4,670,120"	"$10,737,824"	"$6,067,704"	"$10,737,824"	"$6,067,704"					
291	1296	$0	"$30,630"	$0	"$30,630"	$0	"$30,630"					
