Id,Prediction
funnygames2008,690.277550
gardensofthenight,0.000000
getsmart,63611251.107151
ghosttown,1047377.592662
glassaportraitofphilipintwelveparts,0.000000
gonzo,0.023326
gooddick,0.000000
grantorino,0.000050
hamlet2,10.277711
hammer,0.008936
hancock,57353639.023157
happening,16943432.977199
happygolucky,0.000009
Haroldandkumarescape,9446987.291963
harvardbeatsyale,0.000003
hauntingofmollyhartley,11969126.682669
hellboy2,22939980.075761
hellride,3.855635
henrypoole,11494.285343
holdingtrevor,0.000000
hortonhears,56672570.825665
hottieandthenottie,19.823288
hounddog,0.000683
housebunny,13219610.369064
howaboutyou,0.000000
howshemove,1127430.160738
howtorobabank,0.000000
hsm3,45781515.515975
hunger,0.000000
igor,6974712.050439
inbruges,0.037973
incrediblehulk,33749997.919353
indianajones4,78086603.089578
inthenameoftheking,1483860.221886
irinapalm,0.000000
ironman,66582768.448600
ivelovedyousolong,0.000454
jcvd,0.000000
jihadforlove,0.000000
journeytothecenteroftheearth,15374392.525113
jumper,30675436.512754
kabluey,0.000000
kissthebride,0.000023
kitkittredge,0.000023
kungfupanda,79073828.131094
lakecity,0.000000
lakeviewterrace,8724717.099719
lastchanceharvey2008,0.000050
leatherheads,12249093.908347
loureedsberlin,0.000000
loveguru,20690581.149911
lowerlearning,0.000000
luckyones,4557.941302
madeofhonor,13536660.351379
madmoney,8816439.421693
mammamia,19647980.314389
manonwire,0.000000
marleyandme,38502335.829783
marriedlife,0.000288
matador2008,0.000000
maxpayne,33793004.953423
meetbill,0.111891
meetdave,17561900.133761
meetthespartans,11083311.964959
milk2008,0.111892
miracleatstanna,374701.330555
mirrors,12203754.906319
missconception,0.000003
misspettigrewlivesforaday,12263.589120
misterfoe,0.000000
misterlonely,0.000000
mommasman,0.000000
mongol,0.000023
morninglight,0.692239
movingmidway,0.000000
mummy3,45648129.637499
mybestfriendsgirl,11065028.639151
myblueberrynights2008,0.000050
neverbackdown,13536660.351379
nickandnorah,8088610.509871
nightsinrodanthe,13011431.630574
nimsisland,40097045.455945
nobelson2008,111008.849594
nothingliketheholidays,1642460.989504
onemissedcall2007,5791123.245718
ontherumbariver,0.000000
otherboleyngirl,349542.586540
otherendoftheline,6.033569
overherdeadbody,3384737.607413
paranoidpark,0.000000
passengers2008,23.627044
pathology,0.321037
pattismith,0.000000
penelope,389888.478173
pineappleexpress,22522030.258954
pingpongplaya,0.000288
pirateswhodon'tdoanything,629595.158942
planetbboy,0.000000
prayingwithlior,0.000000
praythedevilbacktohell,0.000000
prideandglory,10722021.721718
princecaspian,55147772.887016
promnight,12928868.393110
promotion,0.000050
punisher2,9414661.658096
quantumofsolace,31570290.593902
quarantine,8679131.483260
rachelgettingmarried,0.000288
rambo2007,14012185.157089
reader,0.000174
redbelt,0.000050
religulous,9326.577696
repo,0.000174
revolutionaryroad,0.000003
righteouskill,21381390.847631
rocker,14749388.727234
rocknrolla,0.000098
rogue,0.000454
rolemodels,14932502.934558
romanpolanski,0.000000
romulusmyfather,0.000003
roscoejenkins,7611350.657685
ruins,15397924.614620
runfatboyrun,308947.682064
savagegrace,0.000000
saveme,0.000000
sawv,22146161.499095
secretlifeofbees,1330081.035473
semipro,24107908.476459
sevenpounds2008,12041222.471129
sexanddeath101,0.000023
sexdrive,8088610.509872
shinealight,712.205596
shotgunstories,0.000000
shrooms,0.000009
shutter,14056041.727836
signal,68.298671
sisterhood2,13073619.128591
sleepwalking,0.051088
slumdogmillionaire,0.000454
smartpeople,278511.655475
snowangels,0.000000
sonoframbow,0.000023
soulmen,3906287.123774
special,0.000000
spacechimps,9463182.015966
speedracer,38135185.280118
spiderwickchronicles,50366370.470169
spirit2008,9430813.845837
splinter,0.000009
standardoperatingprocedure,0.000000
stepbrothers,23223820.121568
stepup2thestreets,8816439.421693
stoneangel,0.000009
strangers,8770486.241084
strangewilderness,406990.382101
streetkings,8770486.241084
stuck,0.000000
sukiyaki,0.000000
superheromovie,19197765.670232
surferdude,0.000000
surfwise,0.000000
swingvote,5496881.930068
synecdocheny,0.000288
take2007,0.000000
taleofdespereaux2008,23548307.206610
taxitothedarkside,0.000000
teeth,0.000009
thenshefoundme,0.000288
thousandyearsofgoodprayers,0.000000
tothelimit,0.000000
towelhead,0.000009
traceyfragments,0.000003
trailerparkboys,194.135987
traitor,3989130.257455
transsiberian,0.000000
tropicthunder,26696015.133998
troublethewater,0.000003
truloved,0.000000
turntheriver,0.000000
twilight2008,35683090.563798
untraceable,7354237.151128
valkyrie,11183356.774173
vantagepoint,25051790.403905
vickycristinabarcelona,37081.093687
visitor2007,0.000009
wackness,0.000050
walle,59051990.979061
waltzwithbashir2008,0.000023
wanted,22060395.381266
warinc,0.000000
wendyandlucy,0.000000
whathappensinvegas,27388896.256337
whatwedoissecret,0.000000
whereisosamabinladen,9.855464
wildwestcomedyshow,152879.459473
withouttheking,0.000000
witlessprotection,621535.546001
women2008,19253605.178745
wrestler2008,0.000009
w,3792532.331070
xfilesiwanttobelieve,26306732.364828
yesman,36361147.409163
youdontmesswiththezohan,37653270.303242
zackandmiri,13665101.148066
12rounds,6872711.361824
2012,35014779.827272
9,1600610.819834
adam,0.000009
adoration,0.000454
adventureland,2615826.519320
aliensintheattic,23613619.980933
alientrespass,0.176017
allaboutsteve,5914403.596491
amelia,76930.028624
americanaffair,0.000000
americanswing,0.000000
americanviolet,1.080475
amreeka,0.000009
angelsanddemons,34670390.326504
answerman,0.000050
anvilthestoryofanvil,0.000003
armored,2951359.242476
astroboy,17637264.210727
awaywego,0.000009
bandslam,4579533.110909
bartgotaroom,0.000683
battleforterra,341873.692293
beachesofagnes,0.000003
beyondareasonabledoubt,0.000023
bigfan,0.000000
bigmanjapan,0.000000
blackdynamite,1.952621
blinddate,0.000000
blindside,23744662.531244
bliss,0.000000
bobfunk,0.000000
boondocksaints2,1.723791
box,11642680.853348
boysareback,0.000050
bridewars,27794130.346770
briefinterviewswithhideousmen,0.000000
brightstar,0.007167
brokenembraces,0.000000
bronson,0.000000
brothersbloom,0.000009
bruno,14122024.014937
burningplain,0.011021
capitalism,0.000009
casidivas,0.013462
chandnichowktochina,27.967442
chelseaontherocks,0.000000
cheri,2.780960
cherryblossoms,0.000000
cloudywithachanceofmeatballs,20435316.384306
cocobeforechanel,0.000023
coldsouls,0.000098
coraline,5504689.550213
couplesretreat,17287677.402807
cove,0.000009
crankhighvoltage,5604488.964858
crossingover,0.000288
crude2009,0.000000
damnedunited,0.000050
danceflick,8513546.090429
dare,0.000000
deadsnow,0.000000
departures,0.000288
didyouhearaboutthemorgans2009,13303593.739550
district9,21805861.711528
downloadingnancy,0.000023
dragmetohell,9414661.658096
dragonballevolution,5163161.275131
duplicity,10527204.554799
earth2009,2283039.479305
easyvirtue,0.000454
edgeoflove,0.000000
endgame,0.001928
everybodysfine,4691989.236976
everylittlestep,0.000174
examinedlife,0.000000
explicitills,0.000000
extract,1403482.987288
fados,0.000000
fame,23288441.317841
fanboys,0.265181
fantasticmrfox,0.000009
fastandfurious4,37606525.094395
fighting,6598105.271073
finaldestination4,24107908.476459
firedup,2315870.127130
fix,0.000000
foodinc,0.000003
fridaythe13th2009,23580946.240138
funnypeople,17461799.422430
gamer,9318193.867414
gentlemenbroncos,0.000000
gforce,42449041.855925
ghostsofgirlfriendspast,25953406.330901
gigante,0.000000
gigantic,0.000000
girlfriendexperience,0.051088
gogolbordellononstop,0.000000
goodbyesolo,0.000003
goodhair,130.497439
goods,2473899.250923
grace,0.000000
greatbuckhoward,0.692239
halloweenii2009,21077323.363633
hangover,29422562.040248
hannahmontanathemovie,24008421.408207
harrypotter6,83340391.301702
hauntinginconnecticut,13600764.391529
hesjustnot,25953406.330901
hotelfordogs,29500044.324415
humpday,0.000000
hurtlocker,0.000009
icandobadallbymyself,5959728.526413
iceage3,66165302.632654
ihatevalentinesday,0.000003
ildivo,0.000000
ihopetheyservebeerinhell,19.823288
iloveyoubethcooper,2591748.645910
iloveyouman,13156890.322557
imaginethat,17486783.442730
informers,7830.664066
inglouriousbasterds,21763173.593458
inkheart,10223337.865372
international,7300968.241011
intheloop,0.000174
inventionoflying,1800115.906751
isanybodythere,0.000050
itmightgetloud,0.000098
jennifersbody,12970099.593905
jonasbrothers3d,506433.231929
julia,0.000003
julieandjulia,7169091.120063
katyn,0.000000
knowing,31939476.788701
landofthelost,34417487.415799
lasthouseontheleft,7805174.500179
lawabidingcitizen,14722310.682759
limitsofcontrol,0.000003
littleashes,0.000994
lovehappens,2840337.996326
lymelife,0.000009
madeagoestojail,3808625.355125
management,229.055398
medicine,0.000000
menwhostareatgoats,8409443.107193
missmarch,1964279.918214
monstersvsaliens,78250648.029236
moon,0.000174
morethanagame,0.001928
motherhood,0.385508
mutantchronicles,0.000000
mylifeinruins,346971.772053
mysisterskeeper,11101618.466662
mysteriesofpittsburgh,0.008936
newintown,3127563.462998
nextdayair,314853.159426
nightatthemuseum2,65957324.529083
ninjaassassin,9334218.913627
noimpactman,0.000000
noteasilybroken,45037.281011
notforgotten,0.000003
notorious,1507461.008729
nyiloveyou,19.122658
objective,0.000000
observeandreport,13494053.321416
obsessed,9959015.045863
oftimeandthecity,0.000000
ohorten,0.000174
olddogs,35953138.258460
orphan,13990296.291967
otherman,0.000174
outlander,3.657480
pandorum,9382420.979848
paperheart,0.141178
paranormalactivity,0.000994
paulblart,24881195.259986
perfectgetaway,4942909.861959
peterandvandy,0.000003
phoebeinwonderland,0.000683
pinkpanther2,28429433.649072
planet51,21378573.293451
pontypool,0.000000
ponyo,130358.449299
postgrad,3254201.219969
precious,0.005680
privatelivesofpippalee,0.000994
proposal,22021948.027972
publicenemies,27218696.001804
push,0.005680
redcliff,0.000000
revanche,0.195734
rudoycursi,1.952621
saw6,21408879.011752
septemberissue,0.000050
seraphine,0.000050
seriousman,0.000050
seriousmoonlight,0.000174
severedways,0.000000
shallwekiss,0.000009
shermansway,0.000000
shorts,23580946.240138
shrink,0.000000
sinnombre,0.000050
soloist,3744566.208949
somerstown,0.000000
sororityrow,12223465.363364
soulpower,0.000050
spinningintobutter,0.000009
splinterheads,0.000000
spread,10.277711
startrek2009,50479061.527044
stateofplay,12909058.677198
stepfather,13643629.668888
stoningofsorayam,0.032476
streetfighterlegendofchunli,312480.667525
sttrinians,2.780960
sugar,0.000683
sunshinecleaning,0.000009
surrogates,16105820.529195
surveillance,0.000000
taken2009,26235773.619286
takingwoodstock,751079.882053
taxidermia,0.000000
tennessee,0.002594
terminatorsalvation,34797375.338964
thirst,0.000009
thisisit,38549933.117041
timetravelerswife,19990924.515430
tokyo,0.000000
transformers2,76057829.106834
treelessmountain,0.000000
trucker,0.000454
tulpan,0.000000
twolovers,0.000098
tyson,0.000683
uglytruth,17115138.883238
uninvited,7039049.842088
up,45962179.227016
unmistakenchild,0.000000
watchmen,38363078.875372
weathergirl,0.000000
weddingsong,0.000000
weliveinpublic2009,0.000000
whateverworks,0.000288
whatgoesup,0.000683
wherethewildthingsare,44357275.271126
whipit,1864464.296146
whiteout,13881245.290775
witchmountain,26377838.304490
wolverine,66165302.632654
womenintrouble,0.000003
worldsgreatestdad,0.000000
yearone,17839448.841412
zombieland,21408879.011752
