Row	Num Theatres ^ 4	Actual Num Theatre	Production Budget	Predicted	Actual	Error	Error Pct	Revenue / Theatre
46	456976	26	7000000	743296.8352	55304	687992.8352	12.44020026	"$2,127"
47	1.0161E+12	1004	0	201590.1951	9404180	9202589.805	0.978563767	"$9,367"
48	7.44801E+12	1652	1125000	1597119.115	6021106	4423986.885	0.734746554	"$3,645"
49	256	4	1500000	159277.8739	111708	47569.87389	0.425841246	"$27,927"
50	625	5	0	1000	32018	31018	0.968767568	"$6,404"
51	81	3	0	1000	16525	15525	0.939485628	"$5,508"
52	4.93155E+13	2650	35000000	13500519.9	4174383	9326136.896	2.234135415	"$1,575"
53	10000	10	0	1000	60465	59465	0.983461507	"$6,047"
54	7.68694E+13	2961	29000000	18330016.23	22347341	4017324.767	0.179767462	"$7,547"
55	1.76518E+14	3645	30000000	38206246.35	16047174	22159072.35	1.380870697	"$4,403"
56	16	2	0	1000	4015	3015	0.750933998	"$2,008"
57	81	3	0	1000	15471	14471	0.935362937	"$5,157"
58	2.33248E+14	3908	132000000	60292129.16	100561125	40268995.84	0.400442973	"$25,732"
59	256	4	0	1000	14170	13170	0.92942837	"$3,543"
60	1	1	0	1000	12268	11268	0.918487121	"$12,268"
61	1	1	0	1000	7540	6540	0.867374005	"$7,540"
62	2.68814E+13	2277	25000000	7987816.568	9820089	1832272.432	0.186584096	"$4,313"
63	1	1	0	1000	29400	28400	0.965986395	"$29,400"
64	5.90436E+13	2772	0	11714060.36	16797265	5083204.635	0.30262097	"$6,060"
65	1	1	0	1000	4837	3837	0.793260285	"$4,837"
66	625	5	0	1000	56280	55280	0.982231699	"$11,256"
67	5.19886E+12	1510	20000000	3155141.121	4248465	1093323.879	0.257345624	"$2,814"
68	7.31987E+13	2925	40000000	18769797.96	33900720	15130922.04	0.446330404	"$11,590"
69	8.25427E+12	1695	15000000	3230399.607	11129580	7899180.393	0.709746495	"$6,566"
70	83521	17	8000000	849482.0104	48120	801362.0104	16.65340836	"$2,831"
71	3.11257E+13	2362	28000000	9148431.045	10826287	1677855.955	0.154979815	"$4,584"
72	1	1	0	1000	9527	8527	0.895035163	"$9,527"
73	8.08921E+13	2999	15000000	17641499.36	21607203	3965703.636	0.183536186	"$7,205"
74	5308416	48	0	1000	134006	133006	0.992537648	"$2,792"
75	71639296	92	25000000	2654645.444	506878	2147767.444	4.237247313	"$5,510"
76	10000	10	16000000	1698963.99	63967	1634996.99	25.56000734	"$6,397"
77	2.61338E+13	2261	30000000	8370414.72	24113565	15743150.28	0.652875271	"$10,665"
78	1	1	0	1000	11185	10185	0.910594546	"$11,185"
79	4096	8	0	1000	58526	57526	0.982913577	"$7,316"
80	1.07819E+12	1019	0	213910.0996	2756661	2542750.9	0.922402465	"$2,705"
81	1296	6	0	1000	53571	52571	0.981333184	"$8,929"
82	6.00727E+13	2784	0	11918222.19	9610204	2308018.191	0.240163288	"$3,452"
83	1.16734E+14	3287	0	23159723.51	39699023	16539299.49	0.416617293	"$12,078"
84	625	5	0	1000	45364	44364	0.977956089	"$9,073"
85	1	1	0	1000	4268	3268	0.765698219	"$4,268"
86	6.63462E+13	2854	80000000	21657685	9684809	11972876	1.236253187	"$3,393"
87	1	1	0	1000	12705	11705	0.92129083	"$12,705"
88	3111696	42	0	1000	20146	19146	0.950362355	$480
89	6561	9	0	1000	76190	75190	0.986874918	"$8,466"
90	2401	7	3500000	371648.3728	28094	343554.3728	12.22874538	"$4,013"
91	625	5	0	1000	20393	19393	0.950963566	"$4,079"
92	9.35749E+12	1749	1100000	1973298.808	2805754	832455.1919	0.296695716	"$1,604"
93	1	1	0	1000	4763	3763	0.790048289	"$4,763"
94	1	1	0	1000	11749	10749	0.914886373	"$11,749"
95	16	2	500000	53092.62462	32847	20245.62462	0.616361452	"$16,424"
96	168896016	114	25000000	2654664.739	400782	2253882.739	5.62371249	"$3,516"
97	7.64549E+13	2957	65000000	22070443.97	26531879	4461435.031	0.168153753	"$8,973"
98	2.33248E+14	3908	132000000	60292129.16	100561125	40268995.84	0.400442973	"$25,732"
99	81	3	0	1000	42808	41808	0.97663988	"$14,269"
100	1.85398E+14	3690	150000000	52710183.63	102750665	50040481.37	0.487008832	"$27,846"
101	1.46662E+14	3480	60000000	35468337.1	12712272	22756065.1	1.79008639	"$3,653"
102	2401	7	0	1000	108223	107223	0.99075982	"$15,460"
103	2401	7	1700000	180514.9242	28451	152063.9242	5.344765532	"$4,064"
104	9.6102E+13	3131	54000000	24800321.12	21525560	3274761.116	0.152133608	"$6,875"
105	1	1	0	1000	1340	340	0.253731343	"$1,340"
106	1.05646E+14	3206	45000000	25738208.21	24321341	1416867.209	0.05825613	"$7,586"
107	1296	6	0	1000	28550	27550	0.96497373	"$4,758"
108	1.07905E+14	3223	65000000	28310025.42	13427872	14882153.42	1.108303194	"$4,166"
109	1	1	0	1000	4534	3534	0.779444199	"$4,534"
110	1	1	0	1000	7062	6062	0.858397055	"$7,062"
111	3.11257E+13	2362	85000000	15200990.25	13395610	1805380.25	0.134774023	"$5,671"
112	3.9125E+13	2501	35000000	11478764.02	4510408	6968356.015	1.544950261	"$1,803"
113	1	1	0	1000	9920	8920	0.899193548	"$9,920"
