User,Location,Age
10087,"Dodge Center, Minnesota, USA",26
8450,"Montreal, Quebec, Canada",0
10722,"Castelnovo Monti (Re), Emilia Romagna, Italy",33
11452,"Pacific Grove, California, USA",0
3592,"Lyon, Rhne-Alpes, France",24
10880,"Indianapolis, Indiana, USA",34
1544,"Medford, New Jersey, USA",48
5614,"Edewecht, Niedersachsen, Germany",27
8225,"Dallas, Texas, USA",18
8008,"Ottawa, Ontario, Canada",22
3798,"Hull, England, United Kingdom",26
10768,"Rotterdam, Rotterdam, Netherlands",49
4058,"Kln, Nordrhein-Westfalen, Germany",20
1558,"Placerville, California, USA",47
1673,"Loomis, California, USA",30
9661,"Albany, Oregon, USA",0
6575,"Houston, Texas, USA",66
7344,"Pine Bush, New York, USA",14
6871,"Chester, ,",0
8431,"Lake Charles, Louisiana, USA",33
3439,"Lakeland, Tennessee,",60
9778,"Austin, Texas, USA",32
4197,"Cumberland, Maryland, USA",29
3136,"Perigny, Poitou-Charentes, France",0
1854,"Seattle, Washington, USA",26
11403,"Oradea, Bihor, Romania",25
5259,"Binghamton, New York, USA",0
6465,"Roma, Lazio, Italy",34
11998,"Orlando, Florida, USA",40
6448,"Chicago, Illinois, USA",0
3596,"Jackson, New Jersey, USA",15
11606,"Bayan Lepas, Penang, Malaysia",15
7838,"Providence, Rhode Island, USA",23
9327,"Cullowhee, North Carolina, USA",22
5691,"Redlands, California, USA",20
8814,"Los Angeles, California, USA",0
12407,"The San Francisco Bay Area, California, USA",2
8746,"Middlesbrough, England, United Kingdom",34
5723,"Rockville, Maryland, USA",0
8454,"Aachen, Nordrhein-Westfalen, Germany",26
2995,"Ulm, Baden-Wuerttemberg, Germany",25
34,"Vienna, Vienna, Austria",25
8821,"Albany, Oregon, USA",35
11714,"Honolulu, Hawaii, USA",0
12377,"Harrisburg, Missouri, USA",0
1835,"Indianapolis, Indiana, USA",27
10294,"San Diego, California, USA",38
8798,"Lisboa, Lisboa, Portugal",34
622,"Seattle, Washington, USA",32
390,"Houston, Texas, USA",28
2477,"Jamaica, , USA",28
12567,"St.Petersburg, Florida, USA",16
2146,"Kerrville, Texas, USA",0
4265,"Silsden, Keighley, West Yorkshire, United Kingdom",38
2964,"Calgary, Alberta, Canada",0
12303,"El Dorado, Kansas, USA",0
962,"Wahiawa, Hawaii, USA",32
1697,"Camerota (Sa), Campania, Italy",0
355,"A Corua, , Spain",46
4137,"Wilmington, North Carolina, USA",35
8375,"Letchworth Garden City, England,",37
8204,"San Jose, California, USA",45
7915,"Lake Geneva, Wisconsin, USA",29
1335,"Quispamsis, New Brunswick, Canada",19
1992,"Madrid, Madrid, Spain",20
10687,"Dallas, Texas, USA",20
6883,"Wylie, Texas, USA",30
7696,"Plant City, Florida, USA",0
5923,"Topeka, Kansas, USA",56
7361,"Munich, Bayern, Germany",37
4901,"New Westminster, British Columbia, Canada",0
5892,"Norfolk, ,",28
2354,"Strafford, Missouri, USA",34
1171,"Burien, Washington, USA",31
3263,"Lisboa, Estremadura, Portugal",37
5362,"Port Angeles, Washington, USA",0
1374,"Seattle, Washington, USA",0
8502,"Coral Springs, Florida, USA",62
10520,"Solon, Ohio, USA",35
10420,"Vallejo, California, USA",48
2449,"Oradea, N/A, Romania",22
5662,"Toronto, Ontario, Canada",31
9310,"Altoona, Wisconsin, USA",54
5684,"Myrtle Beach, South Carolina, USA",0
10659,"East Lansing, Michigan, USA",0
7457,"Buford, Georgia, USA",29
7833,"Olympia, Washington, USA",56
6564,"Calgary, ,",0
11899,"Hopewell, Virginia, USA",22
9219,"Boise, Idaho, USA",0
4236,"Gloucester, Massachusetts, USA",17
12266,"North Richland Hills, Texas, USA",40
8219,"Raleigh, North Carolina, USA",28
2505,"Colorado Springs, Colorado, USA",20
9481,"Durham, North Carolina, USA",0
12190,"Pickering, Ontario, Canada",31
7135,"Wild Rose, Wisconsin, USA",16
9816,"Bismarck, North Dakota, USA",11
7472,"Aurora, Ontario, Canada",0
3475,"Carlisle, Pennsylvania, USA",0
6215,"Chertsey, England, United Kingdom",0
98,"Apo, Ae, USA",28
7030,"Apo, Ae, USA",8
10406,"Bothell, Washington, USA",23
4459,"Vienna, N/A, Austria",32
1771,"Omaha, Nebraska, USA",30
8691,"Oviedo, Asturias, Spain",24
7683,"Rothesay, New Brunswick, Canada",0
4989,"Saint Marys, Georgia, USA",30
2241,"Pasco, Washington, USA",28
1287,"Walnut Ridge, Arkansas, USA",23
389,"Sunnyvale, California, USA",49
10066,"Houston, Texas, USA",53
150,"Winnipeg, Manitoba, Canada",26
11567,"Miami, Florida, USA",28
11487,"Oregon City, Oregon, USA",22
11511,"Multiple, Traveling Nurse Do 3 Months at a Time All Over Us, USA",34
4488,"La, California, USA",0
4351,"Arlington Heights, Illinois, USA",0
8946,"Leipzig, Sachsen, Germany",36
12420,"Grosse Pointe, Michigan, USA",0
11063,"Tulsa, , USA",22
1165,"Knoxville, Tennessee, USA",21
438,"Lincoln, Nebraska, USA",49
12661,"Olive Branch, Mississippi, USA",21
10595,"Seattle, Washington, USA",0
3175,"Salt Lake City, Utah, USA",0
3574,"Northfield, Massachusetts, USA",0
3237,"Klang, Selangor, Malaysia",17
11350,"Milwaukee, Wisconsin, USA",34
4160,"Altoona, Pennsylvania, USA",23
4463,"Newport Coast, California, USA",0
1400,"Mission Hills, California, USA",43
1875,"St. Paul, Minnesota, USA",0
10333,"Marysville, ,",0
8979,"Vancouver, British Columbia, Canada",0
5498,"Oeiras, Lisbon, Portugal",27
6759,"Albuquerque, New Mexico, USA",54
4916,"New York, New York, USA",0
6200,"Cambridge, Massachusetts, USA",34
1975,"Toronto, Ontario, Canada",0
4604,"Raleigh, North Carolina, USA",0
1452,"Chicago, Illinois, USA",0
1264,"Owings Mills, Maryland, USA",26
4832,"Durham, New Hampshire, USA",0
8920,"Peterborough, Ontario, Canada",22
12252,"Claremont, California, USA",0
4630,"Cambridge, ,",39
10610,"Bend, Oregon, USA",0
8100,"San Francisco, California, USA",0
10270,"Clawson, Michigan, USA",37
6853,"Colorado Springs, Colorado, USA",44
49,"Torrance, California, USA",31
4583,"Carrollton, Texas, USA",34
1969,"Tulsa, Oklahoma, USA",26
10229,"Savage, Minnesota, USA",47
2099,"Manchester, Kentucky, USA",28
8221,"Shrewsbury, Massachusetts, USA",0
1674,"Warrenville, Illinois, USA",36
12262,"Newark, California, USA",36
6469,"Roy, Utah, USA",48
9906,"Hamburg, Hamburg, Germany",35
3503,"Los Angeles, California, USA",28
318,"Auburndale, Massachusetts, USA",0
8360,"Carrollton, Texas, USA",30
385,"Logroo, La Rioja, Spain",0
1339,"Rochester, New York, USA",23
10883,"Watertown, Massachusetts, USA",0
6779,"Innsbruck, Tirol, Austria",25
3586,"St. Charles County, Missouri, USA",2
1278,"Orlando, Florida, USA",34
5176,"Bucharest, N/A, Romania",28
6727,"Redding, California, USA",0
1218,"Chula Vista, California, USA",0
9575,"Derby, Kansas, USA",0
10660,"San Bartolome Lanzarote, Las Palmas, Spain",60
6728,"Calgary, Alberta, Canada",239
605,"San Francisco, California, USA",24
3530,"San Diego, California, USA",0
8135,"St Petersburg, Florida, USA",26
10387,"Austin, Texas, USA",45
691,"Athens, Georgia, USA",65
1491,"Paris, Ile-de-France, France",47
9188,"St. Louis, Missouri, USA",78
580,"Little Elm, Texas, USA",35
4242,"Elizabeth City, North Carolina, USA",18
1379,"Murphysboro, ,",37
6968,"Bayside, New York, USA",42
1344,"Berlin, Berlin, Germany",27
2388,"Gav, Barcelona, Spain",0
8426,"Albuquerque, New Mexico, USA",14
2691,"Darien, Connecticut, USA",0
9735,"Mt. Pleasant, Michigan, USA",17
7488,"Madrid, Madrid, Spain",47
2723,"Leicester, Leicestershire, United Kingdom",26
6527,"Waterloo, Ontario, Canada",31
1024,"Washougal, Washington, USA",0
12428,"Woodbridge, Suffolk, United Kingdom",0
11430,"Kapolei, Hawaii, USA",27
5364,"Glendora, California, USA",24
10802,"Kelseyville, California, USA",0
10328,"Lisboa, N/A, Portugal",0
1254,"Fredericton, New Brunswick, Canada",0
11337,"Albuquerque, New Mexico, USA",30
6661,"Quechee, Vermont, USA",0
7588,"Bagshot, Surrey, United Kingdom",0
7499,"Waipahu, Hawaii, USA",34
2704,"Ipswich, Suffolk, United Kingdom",37
3953,"Whitby, Ontario, Canada",26
3855,"Indianapolis, Indiana, USA",21
12054,"Reno, Nevada, USA",0
2329,"Saint Charles, Missouri, USA",0
11577,"Wichita, Kansas, USA",44
1486,"Reinbek, Schleswig-Holstein, Germany",27
7110,"Lansing, Michigan, USA",33
4437,"Collings Lakes, New Jersey, USA",34
12361,"Albuquerque, New Mexico, USA",35
10006,"Rockford, Illinois, USA",16
1357,"O`Fallon, Missouri, USA",0
862,"Boulder, Colorado, USA",25
11108,"Rueil-Malmaison, N/A, France",29
4090,"Glendale, Colorado, USA",22
2854,"Woodstock, Georgia, USA",36
9901,"San Diego, California, USA",0
2263,"Pittsburgh, Pennsylvania, USA",66
8325,"Watton, Norfolk, England",61
8858,"Minneapolis, Minnesota, USA",44
5615,"Eltham, Victoria, Australia",17
9367,"Avon, Massachusetts, USA",27
1363,"Beaverton, Oregon, USA",0
5842,"Calgary, Alberta, Canada",18
64,"Martinsburg, West Virginia, USA",15
947,"Chicago, Illinois, USA",0
2161,"Shipley, West Yorkshire, United Kingdom",29
11543,"Wendlingen, Baden-Wuerttemberg, Germany",28
1553,"Chicago, Illinois, USA",27
8727,"Singapore, N/A, Singapore",0
8863,"Shah Alam, Selangor, Malaysia",22
8527,"Plattsburgh, New York, USA",60
8415,"Douglas, Alaska, USA",33
9550,"Luzern, Luzern, Switzerland",37
2889,"Boise, Idaho, USA",0
5382,"Xxxxxx, Xxxxxx, Netherlands",0
10988,"Victoria, British Columbia, Canada",0
6145,"Sioux Falls, South Dakota, USA",24
4587,"Richmond, Kentucky, USA",27
10043,"Brooklyn, New York, USA",0
9598,"London, England, United Kingdom",0
7808,"Ajax, Ontario, Canada",0
10202,"Columbia, Tennessee, USA",0
6391,"Uppsala, Uppland, Sweden",22
12215,"Southampton, England, United Kingdom",38
9584,"Sherman Oaks, California, USA",0
5909,"Mississauga, Ontario, Canada",0
1404,"Kerava, Uusimaa, Finland",58
10702,"Davidson, North Carolina, USA",0
3692,"Worms, Rheinland-Pfalz, Germany",49
8850,"Stuttgart, Baden-Wuerttemberg, Germany",45
12437,"Groningen, Groningen, Netherlands",30
10435,"Paris, Tennessee, USA",62
3232,"Tumwater, Washington, USA",51
6295,"Hinesville, Georgia, USA",37
827,"Scarborough, Ontario, Canada",0
10518,"Vineland, New Jersey, USA",37
8638,"Kingston, Ontario, Canada",29
4017,"Seattle, Washington, USA",23
1204,"Brighton, Ontario, Canada",0
11578,"Mississauga, Ontario, Canada",73
1173,"Brisbane, ,",0
6950,"Ottawa, Ontario, Canada",49
875,"Ventura, California, USA",61
4485,"Millersville, Maryland, USA",0
4385,"Fort Thomas, Kentucky, USA",0
10579,"Calgary, Alberta, Canada",16
6812,"Onley, Virginia, USA",57
7121,"St. Louis, Missouri, USA",24
8262,"Richmond, California, USA",0
7470,"Taneytown, Maryland, USA",0
1744,"St. Peters, Missouri, USA",0
1817,"Brooklyn, New York, USA",0
12006,"Gatineau, Quebec, Canada",40
2993,"Houston, Texas, USA",21
8155,"Seattle, Washington, USA",0
11095,"Hampton, New Brunswick, Canada",0
8127,"Cincinnati, Ohio, USA",25
8,"N/A, N/A, N/A",0
4071,"Orillia, Ontario, Canada",47
6799,"Landau, Rheinland-Pfalz, Germany",30
12043,"Auburn, ,",0
6414,"Davison, Michigan, USA",29
2789,"Reno, Nevada, USA",0
2134,"West Lawn, Pennsylvania, USA",42
10844,"Jenks, Oklahoma, USA",30
1494,"Jacksonville, Florida, USA",0
8338,"Juneau, Alaska, USA",0
8797,"Brooklyn, New York, USA",0
4309,"Amherst, Massachusetts, USA",19
7356,"Santo Tirso, Porto, Portugal",21
1469,"Lakewood, Colorado, USA",37
12234,"Rockford, Illinois, USA",39
1813,"Schwarme, Niedersachsen, Germany",19
3155,"Quezon City, National Capital Region, Philippines",26
9732,"Austin, Texas, USA",40
6054,"Cooks Hill, New South Wales, Australia",26
7255,"Portage, Michigan, USA",0
7891,"North Vancouver, British Columbia, Canada",0
7860,"Pleasant Hill, California, USA",51
2382,"Pittsburgh, Pennsylvania, USA",41
11067,"Ourense, Galicia, Spain",24
4785,"Redford, Michigan, USA",0
4778,"Legazpi City, Albay, Philippines",19
11999,"Poughkeepsie, New York, USA",18
5337,"Karlsruhe, Baden-Wuerttemberg, Germany",15
6611,"Ploiesti, Prahova, Romania",18
7922,"Greenwood, Indiana, USA",23
10150,"Viewtown, Virginia, USA",0
11854,"Athens, N/A, Greece",31
3074,"Brighton, Massachusetts, USA",23
9894,"Dallas, Texas, USA",54
12781,"Ann Arbor, Michigan, USA",28
5672,"Redwood City, California, USA",0
652,"Byron, Minnesota,",0
142,"Byron, Minnesota, USA",18
3349,"Selangor, Subang Jaya, Malaysia",22
4199,"Lisboa, N/A, Portugal",0
12728,"Youngsville, Louisiana, USA",51
10370,"Parksville, British Columbia, Canada",56
4426,"Hollywood, Florida, USA",25
3494,"Donostia, Gipuzkoa, Spain",27
4317,"Bremen, Bremen, Germany",48
7234,"Portland, Oregon, USA",32
10430,"Valley Stream, New York, USA",31
8741,"Edmonton, Alberta, Canada",37
11603,"San Jose, California, USA",57
11085,"Denver, Colorado, USA",0
2377,"San Jose, California, USA",0
5748,"Detroit, Michigan, USA",57
8916,"Teaneck, New Jersey, USA",0
2292,"Long Beach, California, USA",18
10379,"Nuneaton, England, United Kingdom",0
3241,"Hamburg, Hamburg, Germany",38
4798,"London, England, United Kingdom",29
7262,"Moore, Oklahoma, USA",24
4306,"Kitchener, Ontario, Canada",30
4494,"Raleigh, North Carolina, USA",35
39,"Getxo, Vizcaya, Spain",41
7191,"Denver, Colorado, USA",58
11409,"Wachenheim, Rheinland-Pfalz, Germany",0
10088,"New York, New York, USA",0
12394,"Victoria, British Columbia, Canada",29
4217,"Edmonton, Alberta, Canada",22
4701,"Bellwood, Pennsylvania, USA",0
2547,"Zaragoza, Aragon, Spain",29
458,"Schenectady, New York, USA",24
10064,"Mumbai, Maharashtra, India",21
2645,"Scottsburg, Indiana, USA",33
4403,"Norfolk, Virginia, USA",55
8503,"Iqaluit, Nunavut, Canada",45
10345,"Lethbridge, Alberta, Canada",21
2,"Harrisburg, Pennsylvania, USA",201
7043,"Moodus, Connecticut, USA",0
1110,"Lakewood, Colorado, USA",65
3900,"Champaign, Illinois, USA",58
1124,"Vigo, Vigo Pontevedra, Spain",49
3284,"Medina, Ohio, USA",16
3193,"Fishers, Indiana, USA",27
1234,"Raleigh, North Carolina, USA",0
193,"Cordova, Tennessee, USA",32
1743,"Lisboa, Lisboa, Portugal",29
6532,"Athens, Athens, Greece",0
2306,"Charlotte, North Carolina, USA",51
2528,"Clayton, North Carolina, USA",31
3883,"Escondido, California, USA",0
7824,"Tinley Park, Illinois, USA",54
515,"Monroe, Louisiana, USA",31
9811,"Tucson, Arizona, USA",0
504,"Elmira, New York, USA",0
846,"Online, N/A, USA",28
4812,"Nantes, Loire Atlantique, France",24
2558,"Granollers, Barcelona, Catalunya",26
11002,"Torrance, California, USA",0
3122,"Lancaster, Pennsylvania, USA",36
5060,"Las Vegas, Nevada, USA",18
2050,"Adelaide, South Australia, Australia",0
10492,"Berkeley, ,",56
2152,"Burnaby, British Columbia, Canada",0
3380,"Valencia, Valencia, Spain",41
6684,"Ann Arbor, Michigan, USA",31
2697,"Dallas, Texas, USA",31
7905,"Calgary, Alberta, Canada",0
8948,"New York, New York, USA",0
7608,"Houston, Texas, USA",44
5560,"Paris, Paris, France",23
2650,"Las Vegas, Nevada, USA",0
9803,"Sebastopol, California, USA",0
242,"Mannheim, Baden-Wrttemberg, Germany",32
6316,"Manchester, New Hampshire, USA",28
10874,"Porter, Maine, USA",57
4903,"Coalville, Leicestershire, England, United Kingdom",35
9317,"Chicago, ,",0
3390,"Vienna, ,",0
897,"Apple Valley, Minnesota, USA",0
10129,"Austin, Texas, USA",28
10713,"Saskatoon, Saskatchewan, Canada",72
7354,"Lisboa, Lisboa, Portugal",26
6467,"Edmonton, Alberta, Canada",27
3003,"Aachen, Nordrhein-Westfalen, Germany",31
7119,"Guelph, Ontario, Canada",23
1231,"Providence, Rhode Island, USA",0
1163,"Mislata, Valencia, Spain",17
8747,"Newburgh, New York, USA",19
6982,"Roquemaure, Languedoc Roussillon, France",33
4096,"Rocky Mount, Missouri, USA",0
5186,"London, Ontario, Canada",30
2495,"Upstate, New York, USA",0
7618,"Corry, Pennsylvania, USA",27
1108,"Corvallis, Oregon, USA",24
8042,"Madison, Wisconsin, USA",41
1656,"Shiki, Saitama, Japan",24
11058,"Virginia Beach, Virginia, USA",42
2113,"Lezo, Euskadi, Spain",39
6703,"West Hills, California, USA",0
10537,"Canton, Georgia, USA",25
6614,"Sheffield, England, United Kingdom",37
4676,"Lake Mary, Florida, USA",37
7782,"Setbal, Setbal, Portugal",29
8024,"Sydney, Nova Scotia, Canada",25
4162,"Benbrook, Texas, USA",28
7779,"Gallatin, Missouri, USA",23
12751,"Dunedin, Florida, USA",25
12440,"Davis, California, USA",21
2474,"Shreveport, Louisiana, USA",33
10970,"Raleigh, ,",0
9194,"Zaragoza, Aragn, Spain",22
1693,"Santander, Cantabria, Spain",20
6320,"Woodside, New York, USA",0
12748,"Minneapolis, Minnesota, USA",23
7728,"Calgary, Alberta, Canada",19
909,"Cary, North Carolina, USA",34
1471,"Vitoria, Lava, Spain",23
8096,"Sevilla, Sevilla, Spain",46
7279,"Fresno, California, USA",38
3393,"New Orleans, Louisiana, USA",0
7638,"Vva de La Serena, Badajoz, Spain",18
2790,"Paris, N/A, France",0
516,"Cherry Hill, New Jersey, USA",21
1724,"Springfield, Missouri, USA",23
1051,"Dallas, Texas, USA",29
628,"Round Rock, Texas, USA",0
12189,"Ottawa, Ontario, Canada",0
696,"Grapevine, Texas, USA",0
10245,"Lloydminster, Saskatchewan, Canada",61
6479,"Cleveland, Tennessee, USA",15
9852,"Bowling Green, Ohio, USA",0
10847,"Cardiff, Wales, United Kingdom",23
8599,"Tours, Indre Et Loire, France",27
8862,"Chicago, Illinois, USA",59
4402,"Charlotte, North Carolina, USA",36
4176,"Sydney, New South Wales, Australia",27
12434,"Saskatoon, Saskatchewan, Canada",18
11454,"Chicago, Illinois, USA",26
9292,"Greensboro, North Carolina, USA",54
9298,"Chicago, Illinois, USA",30
2872,"Stratford, New Jersey, USA",25
7716,"Carlinville, Illinois, USA",0
12630,"Atlanta, Georgia, USA",0
8062,"Crestview, Florida, USA",0
9882,"Silver Springs, Florida, USA",0
467,"Albany, California, USA",44
7887,"Winter Haven, Florida, USA",35
7890,"Tarrytown, New York, USA",37
11730,"Claremont, California, USA",0
660,"Kuala Lumpur, , Malaysia",47
4914,"Cobram, Victoria, Australia",28
4994,"Kanata, Ontario, Canada",32
4065,"Kingman, Arizona, USA",48
7318,"Toronto, ,",0
357,"Kitakyushu, Fukuoka, Japan",32
11010,"Randolph, Massachusetts, USA",40
930,"Ashland, Wisconsin, USA",0
12742,"Keith, South Australia, Australia",43
2714,"Sheffield, England, United Kingdom",24
6767,"Austin, Texas, USA",0
9954,"Austin, Texas, USA",37
5836,"Pendleton, Oregon, USA",0
839,"Milwaukee, Wisconsin, USA",36
7674,"East Hartford, Connecticut, USA",43
3676,"Kuching, Sarawak, Malaysia",28
7805,"Louisville, Kentucky, USA",28
2274,"Berkeley, California, USA",0
10381,"Aurora, Colorado, USA",0
7351,"Prince George, British Columbia, Canada",26
4980,"Roselle, Illinois, USA",33
1207,"Brewster, New York, USA",40
631,"Little Rock, Arkansas, USA",42
811,"Mlaga, Andalucia, Spain",35
8876,"Rogersville, Tennessee, USA",0
9776,"Cadiz, Cadiz, Spain",30
